citation,adscode,comment
AMS02.2021.review,2021PhR...894....1A,
AMS02.2021.iron,2021PhRvL.126d1104A,
AMS02.2019.nemgsi,2020PhRvL.124u1102A,
AMS02.2019.positrons,2019PhRvL.122d1102A,
AMS02.2018.libeb,2018PhRvL.120b1101A,
AMS02.2017.heco,2017PhRvL.119y1101A,
AMS02.2016.pbar,2016PhRvL.117i1103A,
AMS02.2015.he,2015PhRvL.115u1101A,
AMS02.2018.n,2018PhRvL.121e1103A,
AMS02.2015.protons,2015PhRvL.114q1103A,
AMS02.2013.posfraction,2013PhRvL.110n1102A,
CALET.2020.co,2020PhRvL.125y1102A,
PAMELA.2011.phe,2011Sci...332...69A,
PAMELA.2014.bc,2014ApJ...791...93A,
Aloisio2013jcap,2013JCAP...07..001A,
Aloisio2015aap,2015A&A...583A..95A,
Aloisio2018book,2018mmea.book....1A,
Amato2018adspr,2018AdSpR..62.2731A,
Ave2008apj,2008ApJ...678..262A,
Berezhko2003aa,2003A&A...410..189B,
BlasiAmato2011,2011ASSP...21..624B,
BlasiSerpico2009prl,2009PhRvL.103h1103B,
Blasi2009prl,2009PhRvL.103e1104B,
Blasi2010mnras,2010MNRAS.402.2807B,
Blasi2012prl,2012PhRvL.109f1101B,break
Blasi2013aarv,2013A&ARv..21...70B,
Blasi2017mnras,2017MNRAS.471.1662B,
Blasi2019galax,2019Galax...7...64B,
Blasi2019ncimr,2019NCimR..42..549B,
Bresci2019mnras,2019MNRAS.488.2068B,
Boschini2020apjs,2020ApJS..250...27B,
Boschini2021arxiv,2021arXiv210112735B,
Boudaud2020prr,2020PhRvR...2b3022B,
Bykov2017ssrv,2017SSRv..207..235B,
Caprioli2009mnras,2009MNRAS.396.2065C,
Caprioli2010aph,2010APh....33..160C,
Cristofari2020aph,2020APh...12302492C,
Cummings2016apj,2016ApJ...831...18C,Voyager
DiFelice2017asi,2017ICRC...35.1073D,
Donato2002aa,2002A&A...381..539D,
Engelmann1990aa,1990A&A...233...96E,
Evoli2012prd,2012PhRvD..85l3511E,
Evoli2017jcap,2017JCAP...02..015E,
Evoli2018jcap,2018JCAP...07..006E,DRAGON2xsecs
Evoli2018prl,2018PhRvL.121b1102E,
Evoli2019prd,2019PhRvD..99j3023E,COAMS
Evoli2020prd,2020PhRvD.101b3013E,BeB
Evoli2020prl,2020PhRvL.125e1101E,
Evoli2020arxiv,2020arXiv201011955E,
Ferriere2001rvmp,2001RvMP...73.1031F,
GarciaMunoz1987apjs,1987ApJS...64..269G,
Genolini2017prl,2017PhRvL.119x1101G,
Genolini2018prc,2018PhRvC..98c4611G,
Gleeson1968apj,1968ApJ...154.1011G,
Hanusch2019He,2019ApJ...872..108H,
Heisig2020prr,2020PhRvR...2d3017H,
Hooper2009jcap,2009JCAP...01..025H,
JamesRoos1975,1975CoPhC..10..343J,
Jones2001apj,2001ApJ...547..264J,
Kulsrud1971apjl,1971ApL.....8..189K,
Lave2013apj,2013ApJ...770..117L,ace-cris
Letaw1985apss,1985Ap&SS.114..365L,ECdecay
LoddersPalme2009,2009M&PSA..72.5154L,
Malkov2012prl,2012PhRvL.108h1104M,
Manconi2020prd,2020PhRvD.102b3015M,
Mashnik2004adspr,2004AdSpR..34.1288M,
Maurin2020crdb,2020Univ....6..102M,
Morlino2017book,2017hsn..book.1711M,
Morlino2020prd,2020PhRvD.101h3017M,
Moskalenko2001icrc,2001ICRC....5.1836M,GALPROPxsecs
Moskalenko2003icrc,2003ICRC....4.1969M,GALPROPxsecs
Moskalenko2003apj,2003ApJ...586.1050M,
Ptuskin1998aap,1998A&A...337..859P,
Putze2010aap,2010A&A...516A..66P,
Recchia2016mnras,2016MNRAS.462.4227R,
Serpico2012aph,2012APh....39....2S,
Silberberg1998apj,1998ApJ...501..911S,
Strong2001adspr,2001AdSpR..27..717S,GALPROP
Strong1998apj,1998ApJ...509..212S,
Tomassetti2012apj,2012ApJ...752L..13T,
Tomassetti2017prd,2017PhRvD..96j3005T,
Tripathi1996nimpb,1996NIMPB.117..347T,
Tripathi1997nimpb,1997NIMPB.129...11T,
Trotta2011apj,2011ApJ...729..106T,
VillagrasaCanton2007prc,2007PhRvC..75d4603V,
Vladimirov2012apj,2012ApJ...752...68V,
Webber1998apj,1998ApJ...506..335W,
Weinrich2020aaa,2020A&A...639A..74W,
Weinrich2020aab,2020A&A...639A.131W,
Young1981apj,1981ApJ...246.1014Y,
TheBible,1990acr..book.....B,
